XPosition,YPosition
0.13671875,0.0771484375
0.4619140625,0.0703125
0.41015625,0.18701171875
0.4853515625,0.228515625
0.8876953125,0.08740234375
0.861328125,0.21435546875
0.89990234375,0.3076171875
0.1904296875,0.34423828125
0.3134765625,0.3994140625
0.568359375,0.3896484375
0.767578125,0.4189453125
0.8056640625,0.53515625
0.56640625,0.50244140625
0.43310546875,0.4814453125
0.43212890625,0.5439453125
0.21142578125,0.505859375
0.595703125,0.6708984375
0.85546875,0.662109375
0.8642578125,0.85009765625
