XPosition,YPosition
0.17857142857142858,0.7780612244897959
0.29591836734693877,0.8423469387755103
0.33418367346938777,0.7673469387755102
0.3229591836734694,0.6545918367346939
0.12602040816326532,0.6862244897959183
0.275,0.5760204081632653
0.3821428571428571,0.625
0.34744897959183674,0.3826530612244898
0.3790816326530612,0.4459183673469388
0.06989795918367347,0.1826530612244898
0.16173469387755102,0.20714285714285716
0.20561224489795918,0.1846938775510204
0.26377551020408163,0.21428571428571427
0.6010204081632653,0.16479591836734694
0.5816326530612245,0.24336734693877551
0.7397959183673469,0.16938775510204082
0.8239795918367347,0.251530612244898
0.6494897959183673,0.32551020408163267
0.7591836734693878,0.3448979591836735
0.7637755102040816,0.5188775510204081
0.8556122448979592,0.6969387755102041
0.8255102040816327,0.7846938775510204
0.8571428571428571,0.9066326530612245
