XPosition,YPosition
0.1306122448979592,0.19948979591836735
0.3,0.19642857142857142
0.49948979591836734,0.23112244897959183
0.15918367346938775,0.35153061224489796
0.24897959183673468,0.37295918367346936
0.3433673469387755,0.375
0.39285714285714285,0.4663265306122449
0.5229591836734694,0.363265306122449
0.5653061224489796,0.3673469387755102
0.6158163265306122,0.2969387755102041
0.08112244897959184,0.5775510204081633
0.19489795918367347,0.5596938775510204
0.31479591836734694,0.5382653061224489
0.33316326530612245,0.5928571428571429
0.1556122448979592,0.689795918367347
0.30459183673469387,0.6551020408163265
0.36275510204081635,0.6392857142857142
0.37142857142857144,0.5341836734693878
0.4153061224489796,0.5229591836734694
0.46530612244897956,0.5392857142857143
0.48316326530612247,0.5005102040816326
0.5255102040816326,0.4913265306122449
0.5520408163265306,0.55
0.5693877551020409,0.6433673469387755
0.6035714285714285,0.5948979591836735
0.6163265306122448,0.5107142857142857
0.686734693877551,0.4816326530612245
0.675,0.6071428571428571
0.7321428571428571,0.5913265306122449
0.7918367346938775,0.5637755102040817
0.8244897959183674,0.5127551020408163
0.9107142857142857,0.5540816326530612
0.9112244897959184,0.44285714285714284
0.8469387755102041,0.7122448979591837
