XPosition,YPosition
0.107421875,0.26708984375
0.1337890625,0.34375
0.09033203125,0.4921875
0.259765625,0.40771484375
0.27734375,0.56201171875
0.27392578125,0.62158203125
0.361328125,0.6572265625
0.39111328125,0.62158203125
0.41455078125,0.57177734375
0.46435546875,0.5791015625
0.453125,0.38916015625
0.58935546875,0.61376953125
0.63134765625,0.47900390625
0.70166015625,0.26708984375
0.8115234375,0.39501953125
0.72705078125,0.470703125
0.7802734375,0.50634765625
0.12744140625,0.8212890625
0.24365234375,0.8134765625
0.27734375,0.8125
0.52392578125,0.77880859375
0.57861328125,0.75244140625
0.62451171875,0.89697265625
0.6962890625,0.912109375
0.75537109375,0.89599609375
0.79345703125,0.79296875
0.86328125,0.7099609375
