XPosition,YPosition
0.21875,0.17236328125
0.38525390625,0.14599609375
0.546875,0.1357421875
0.68603515625,0.10693359375
0.8427734375,0.06982421875
0.794921875,0.1708984375
0.28662109375,0.38623046875
0.3564453125,0.287109375
0.46484375,0.4375
0.6279296875,0.2802734375
0.7099609375,0.16064453125
0.78857421875,0.26953125
0.759765625,0.3349609375
0.75537109375,0.533203125
0.92431640625,0.439453125
0.16748046875,0.533203125
0.13720703125,0.77783203125
0.14208984375,0.884765625
0.359375,0.70263671875
0.5888671875,0.658203125
0.77783203125,0.70361328125
