XPosition,YPosition
0.3653061224489796,0.04795918367346939
0.45357142857142857,0.10357142857142858
0.5678571428571428,0.17857142857142858
0.8336734693877551,0.1673469387755102
0.4229591836734694,0.35
0.4530612244897959,0.30306122448979594
0.5204081632653061,0.30051020408163265
0.6311224489795918,0.28622448979591836
0.698469387755102,0.32551020408163267
0.2556122448979592,0.39183673469387753
0.1719387755102041,0.536734693877551
0.19438775510204082,0.5673469387755102
0.09285714285714286,0.6489795918367347
0.23214285714285715,0.6306122448979592
0.3566326530612245,0.6698979591836735
0.3964285714285714,0.5443877551020408
0.4903061224489796,0.5816326530612245
0.5683673469387756,0.6346938775510204
0.6540816326530612,0.6433673469387755
0.6438775510204081,0.4489795918367347
0.7270408163265306,0.4030612244897959
0.7556122448979592,0.47244897959183674
0.8183673469387756,0.43214285714285716
0.9372448979591836,0.5112244897959184
0.8627551020408163,0.5760204081632653
0.7877551020408163,0.6586734693877551
0.6311224489795918,0.8530612244897959
