XPosition,YPosition
0.04795918367346939,0.21071428571428572
0.06887755102040816,0.11122448979591837
0.21326530612244898,0.08520408163265306
0.3551020408163265,0.1413265306122449
0.38979591836734695,0.15612244897959185
0.4806122448979592,0.11020408163265306
0.6290816326530613,0.2739795918367347
0.0653061224489796,0.3413265306122449
0.3107142857142857,0.2724489795918367
0.16785714285714284,0.18418367346938774
0.3948979591836735,0.27908163265306124
0.4729591836734694,0.3086734693877551
0.3653061224489796,0.3790816326530612
0.46122448979591835,0.4362244897959184
0.5627551020408164,0.4005102040816326
0.621938775510204,0.7005102040816327
0.7168367346938775,0.36887755102040815
0.8158163265306122,0.3647959183673469
0.8658163265306122,0.3683673469387755
0.14489795918367346,0.5336734693877551
0.3051020408163265,0.4545918367346939
0.2571428571428571,0.5795918367346938
0.42551020408163265,0.6255102040816326
0.17142857142857143,0.6576530612244897
0.24336734693877551,0.7785714285714286
0.3096938775510204,0.7326530612244898
0.16173469387755102,0.8239795918367347
0.0673469387755102,0.7994897959183673
0.3693877551020408,0.7862244897959184
0.4045918367346939,0.8627551020408163
0.5418367346938775,0.7719387755102041
0.6331632653061224,0.8336734693877551
0.810204081632653,0.6051020408163266
0.8938775510204081,0.47091836734693876
0.9178571428571428,0.761734693877551
0.9489795918367347,0.8683673469387755
